"","Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"93","Atlantic halibut","Atlantic","revenue_max","Social","2016",1199239.36620334,10,36,8,0.277777777777778,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"94","Atlantic halibut","Atlantic","revenue_5yr","Social","average of 2014 - 2019 data",1199239.36620334,14,35,8,0.4,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"95","Atlantic halibut","Atlantic","revenue_hist","Social","mean of last 10 years vs historic mean",1.48163497587636,9,34,8,0.25,6.91526810273997,6,53,"Atlantic halibut - Atlantic","Atlantic halibut, 6.92"
"96","Atlantic herring","Atlantic","bbmsy","Biological","2017",0.749000012874603,22,41,8,0.536585365853659,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"97","Atlantic herring","Atlantic","ffmsy","Social","2017",0.882000029087067,26,36,8,0.722222222222222,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"98","Atlantic herring","Atlantic","asmt_catch","Social","1968",477767,42,43,8,0.976744186046512,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"99","Atlantic herring","Atlantic","recruitment","Biological","mean of last 10 years vs historic mean",0.654876162767892,13,20,8,0.65,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"100","Atlantic herring","Atlantic","abundance","Biological",NA,NA,NA,NA,8,0.5,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"101","Atlantic herring","Atlantic","biomass_fall","Biological","mean of last 10 years vs historic mean",2.70371344808374,12,51,8,0.235294117647059,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"102","Atlantic herring","Atlantic","biomass_spring","Biological","mean of last 10 years vs historic mean",2.46787862357593,9,51,8,0.176470588235294,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"103","Atlantic herring","Atlantic","avg_length_fall","Biological","mean of last 10 years vs historic mean",0.931594665557732,25,51,8,0.490196078431373,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"104","Atlantic herring","Atlantic","avg_length_spring","Biological","mean of last 10 years vs historic mean",1.02338203152715,8,51,8,0.156862745098039,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"105","Atlantic herring","Atlantic","max_length_fall","Biological","mean of last 10 years vs historic mean",0.948762563632692,31,51,8,0.607843137254902,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"106","Atlantic herring","Atlantic","max_length_spring","Biological","mean of last 10 years vs historic mean",1.02927743464377,10,51,8,0.196078431372549,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"107","Atlantic herring","Atlantic","diet","Biological","all",13,3,11,8,0.272727272727273,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"108","Atlantic herring","Atlantic","rec_catch","Social","average of 2014 - 2019 data",171075,19,31,8,0.612903225806452,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"109","Atlantic herring","Atlantic","com_catch_max","Social","1950",185481500,36,36,8,1,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"110","Atlantic herring","Atlantic","com_catch_5yr","Social","average of 2014 - 2019 data",86441433,34,35,8,0.971428571428571,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"111","Atlantic herring","Atlantic","com_catch_hist","Social","mean of last 10 years vs historic mean",1.38270236371032,9,34,8,0.25,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"112","Atlantic herring","Atlantic","revenue_max","Social","2006",189917224.569811,35,36,8,0.972222222222222,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"113","Atlantic herring","Atlantic","revenue_5yr","Social","average of 2014 - 2019 data",20759328.4337842,34,35,8,0.971428571428571,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"114","Atlantic herring","Atlantic","revenue_hist","Social","mean of last 10 years vs historic mean",1.67616018504479,8,34,8,0.222222222222222,10.5212289579969,30,53,"Atlantic herring - Atlantic","Atlantic herring, 10.52"
"115","Atlantic mackerel","Gulf of Maine / Cape Hatteras","bbmsy","Biological","2016",0.221000000834465,31,41,2,0.75609756097561,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"116","Atlantic mackerel","Gulf of Maine / Cape Hatteras","ffmsy","Social","2016",1.80799996852875,32,36,2,0.888888888888889,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"117","Atlantic mackerel","Gulf of Maine / Cape Hatteras","asmt_catch","Social","1973",432608,41,43,2,0.953488372093023,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"118","Atlantic mackerel","Gulf of Maine / Cape Hatteras","recruitment","Biological","mean of last 10 years vs historic mean",0.230182846811216,18,20,2,0.9,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"119","Atlantic mackerel","Gulf of Maine / Cape Hatteras","abundance","Biological","mean of last 10 years vs historic mean",0.0646413351521494,37,37,2,1,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"120","Atlantic mackerel","Gulf of Maine / Cape Hatteras","biomass_fall","Biological","mean of last 10 years vs historic mean",2.288206596652,16,51,2,0.313725490196078,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"121","Atlantic mackerel","Gulf of Maine / Cape Hatteras","biomass_spring","Biological","mean of last 10 years vs historic mean",0.751742077090557,41,51,2,0.803921568627451,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"122","Atlantic mackerel","Gulf of Maine / Cape Hatteras","avg_length_fall","Biological","mean of last 10 years vs historic mean",0.972566818916575,18,51,2,0.352941176470588,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"123","Atlantic mackerel","Gulf of Maine / Cape Hatteras","avg_length_spring","Biological","mean of last 10 years vs historic mean",0.944344257460836,22,51,2,0.431372549019608,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"124","Atlantic mackerel","Gulf of Maine / Cape Hatteras","max_length_fall","Biological","mean of last 10 years vs historic mean",1.00954612973837,17,51,2,0.333333333333333,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"125","Atlantic mackerel","Gulf of Maine / Cape Hatteras","max_length_spring","Biological","mean of last 10 years vs historic mean",0.946337473844185,30,51,2,0.588235294117647,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
"126","Atlantic mackerel","Gulf of Maine / Cape Hatteras","diet","Biological","all",11,5,11,2,0.454545454545455,12.4503592120772,50,53,"Atlantic mackerel - Gulf of Maine / Cape Hatteras","Atlantic mackerel, 12.45"
