"","Species","Region","Indicator","Year","Value","rank","norm_rank","n_stocks"
"471","Yellowtail flounder","Southern New England / Mid-Atlantic","rec_catch","average of 2014 - 2019 data",7462,7,0.225806451612903,31
"472","Barndoor skate","Georges Bank / Southern New England","rec_catch","average of 2014 - 2019 data",818,1,0.032258064516129,31
"473","Clearnose skate","Southern New England / Mid-Atlantic","rec_catch","average of 2014 - 2019 data",3063,4,0.129032258064516,31
"474","Little skate","Georges Bank / Southern New England","rec_catch","average of 2014 - 2019 data",46083,16,0.516129032258065,31
"475","Smooth skate","Gulf of Maine","rec_catch","average of 2014 - 2019 data",4742,6,0.193548387096774,31
"476","Thorny skate","Gulf of Maine","rec_catch","average of 2014 - 2019 data",4641,5,0.161290322580645,31
"477","Winter skate","Georges Bank / Southern New England","rec_catch","average of 2014 - 2019 data",44358,15,0.483870967741935,31
"478","Atlantic cod","Eastern Georges Bank","rec_catch","average of 2014 - 2019 data",1454545,26,0.838709677419355,31
"479","Atlantic cod","Georges Bank","rec_catch","average of 2014 - 2019 data",1454545,26,0.838709677419355,31
"480","Atlantic cod","Gulf of Maine","rec_catch","average of 2014 - 2019 data",1454545,26,0.838709677419355,31
"481","Atlantic halibut","Northwestern Atlantic Coast","rec_catch","average of 2014 - 2019 data",2243,3,0.0967741935483871,31
"482","Haddock","Eastern Georges Bank","rec_catch","average of 2014 - 2019 data",2923019,29,0.935483870967742,31
"483","Acadian redfish","Gulf of Maine / Georges Bank","rec_catch","average of 2014 - 2019 data",889980,23,0.741935483870968,31
"484","Atlantic mackerel","Gulf of Maine / Cape Hatteras","rec_catch","average of 2014 - 2019 data",6192206,31,1,31
"485","Butterfish","Gulf of Maine / Cape Hatteras","rec_catch","average of 2014 - 2019 data",156134,18,0.580645161290323,31
"486","Goosefish","Gulf of Maine / Northern Georges Bank","rec_catch","average of 2014 - 2019 data",23569,11,0.354838709677419,31
"487","Goosefish","Southern Georges Bank / Mid-Atlantic","rec_catch","average of 2014 - 2019 data",23569,11,0.354838709677419,31
"488","Haddock","Georges Bank","rec_catch","average of 2014 - 2019 data",2923019,29,0.935483870967742,31
"489","Haddock","Gulf of Maine","rec_catch","average of 2014 - 2019 data",2923019,29,0.935483870967742,31
"490","Winter flounder","Southern New England / Mid-Atlantic","rec_catch","average of 2014 - 2019 data",211765,20,0.645161290322581,31
"491","Yellowtail flounder","Cape Cod / Gulf of Maine","rec_catch","average of 2014 - 2019 data",7462,7,0.225806451612903,31
"492","Atlantic herring","Northwestern Atlantic Coast","overall","all",5.6028086741518,16,0.30188679245283,53
"493","American plaice","Gulf of Maine / Georges Bank","overall","all",7.84342068843348,42,0.792452830188679,53
"494","Atlantic wolffish","Gulf of Maine / Georges Bank","overall","all",8.69740811535631,50,0.943396226415094,53
"495","Ocean pout","Northwestern Atlantic Coast","overall","all",8.62683109454415,48,0.905660377358491,53
"496","Pollock","Gulf of Maine / Georges Bank","overall","all",7.5654508418183,39,0.735849056603774,53
"497","Red hake","Gulf of Maine / Northern Georges Bank","overall","all",5.26932958826779,13,0.245283018867925,53
"498","Red hake","Southern Georges Bank / Mid-Atlantic","overall","all",7.60615823276907,40,0.754716981132076,53
"499","Silver hake","Gulf of Maine / Northern Georges Bank","overall","all",3.81040368206444,2,0.0377358490566038,53
"500","Silver hake","Southern Georges Bank / Mid-Atlantic","overall","all",5.39164835384619,15,0.283018867924528,53
"501","White hake","Gulf of Maine / Georges Bank","overall","all",6.94625530946792,32,0.60377358490566,53
"502","Windowpane","Gulf of Maine / Georges Bank","overall","all",7.97131724805184,43,0.811320754716981,53
"503","Windowpane","Southern New England / Mid-Atlantic","overall","all",6.5760060801064,28,0.528301886792453,53
"504","Winter flounder","Georges Bank","overall","all",6.13372153655546,21,0.39622641509434,53
"505","Winter flounder","Gulf of Maine","overall","all",6.29328188243294,24,0.452830188679245,53
"506","Yellowtail flounder","Georges Bank","overall","all",6.18592425367444,22,0.415094339622642,53
"507","Yellowtail flounder","Southern New England / Mid-Atlantic","overall","all",8.20025812951727,45,0.849056603773585,53
"508","Barndoor skate","Georges Bank / Southern New England","overall","all",4.59081033918094,6,0.113207547169811,53
"509","Clearnose skate","Southern New England / Mid-Atlantic","overall","all",3.63600738012915,1,0.0188679245283019,53
"510","Little skate","Georges Bank / Southern New England","overall","all",4.86248259344539,8,0.150943396226415,53
"511","Rosette skate","Southern New England / Mid-Atlantic","overall","all",4.30930791288848,4,0.0754716981132075,53
"512","Smooth skate","Gulf of Maine","overall","all",5.21269122209639,12,0.226415094339623,53
"513","Thorny skate","Gulf of Maine","overall","all",8.66752918176068,49,0.924528301886792,53
"514","Winter skate","Georges Bank / Southern New England","overall","all",5.76810719187586,17,0.320754716981132,53
"515","Atlantic cod","Eastern Georges Bank","overall","all",6.82988614800759,31,0.584905660377358,53
"516","Atlantic cod","Georges Bank","overall","all",8.44993962394342,46,0.867924528301887,53
"517","Atlantic cod","Gulf of Maine","overall","all",9.05528721752631,52,0.981132075471698,53
"518","Atlantic halibut","Northwestern Atlantic Coast","overall","all",5.28304870335231,14,0.264150943396226,53
"519","Haddock","Eastern Georges Bank","overall","all",6.34346706424505,25,0.471698113207547,53
"520","Acadian redfish","Gulf of Maine / Georges Bank","overall","all",7.04089142988574,34,0.641509433962264,53
"521","Atlantic mackerel","Gulf of Maine / Cape Hatteras","overall","all",8.04138018843901,44,0.830188679245283,53
"522","Butterfish","Gulf of Maine / Cape Hatteras","overall","all",6.24667520967331,23,0.433962264150943,53
"523","Goosefish","Gulf of Maine / Northern Georges Bank","overall","all",7.52239664194123,38,0.716981132075472,53
"524","Goosefish","Southern Georges Bank / Mid-Atlantic","overall","all",7.74788683801967,41,0.773584905660377,53
"525","Haddock","Georges Bank","overall","all",7.00258343806731,33,0.622641509433962,53
"526","Haddock","Gulf of Maine","overall","all",6.61692008181572,29,0.547169811320755,53
"527","Winter flounder","Southern New England / Mid-Atlantic","overall","all",6.64490664300911,30,0.566037735849057,53
"528","Yellowtail flounder","Cape Cod / Gulf of Maine","overall","all",5.95193326597501,19,0.358490566037736,53
"529","American lobster","Georges Bank / Southern New England","overall","all",7.18627450980392,35,0.660377358490566,53
"530","American lobster","Georges Bank","overall","all",4.14705882352941,3,0.0566037735849057,53
"531","American lobster","Gulf of Maine","overall","all",4.55882352941176,5,0.0943396226415094,53
"532","Jonah crab","Georges Bank / Southern New England","overall","all",7.36274509803922,37,0.69811320754717,53
"533","Jonah crab","Georges Bank","overall","all",7.2843137254902,36,0.679245283018868,53
"534","Jonah crab","Gulf of Maine","overall","all",5.00980392156863,10,0.188679245283019,53
"535","Spiny dogfish","Unknown","overall","all",6.50802139037433,27,0.509433962264151,53
"536","Alewife","Unknown","overall","all",5.80035650623886,18,0.339622641509434,53
"537","Witch flounder","Unknown","overall","all",8.61675579322638,47,0.886792452830189,53
"538","Blueback herring","Unknown","overall","all",5.01604278074866,11,0.207547169811321,53
"539","Offshore hake","Unknown","overall","all",8.98217468805704,51,0.962264150943396,53
"540","Summer flounder","Unknown","overall","all",4.66310160427807,7,0.132075471698113,53
"541","Black sea bass","Unknown","overall","all",4.93939393939394,9,0.169811320754717,53
"542","Scup","Unknown","overall","all",6.03743315508021,20,0.377358490566038,53
"543","Smooth dogfish","Unknown","overall","all",6.48841354723708,26,0.490566037735849,53
"544","Bluefish","Unknown","overall","all",9.07486631016043,53,1,53
