Sci_name,SVSPP,Com_name
SAURIDA BRASILIENSIS,433,LARGESCALE LIZARDFISH
SAURIDA NORMANI,434,SHORTJAW LIZARDFISH
SYNODUS FOETENS,435,INSHORE LIZARDFISH
SYNODUS INTERMEDIUS,436,SAND DIVER
SYNODUS POEYI,437,OFFSHORE LIZARDFISH
SYNODUS SYNODUS,438,RED LIZARDFISH
TRACHINOCEPHALUS MYOPS,439,SNAKEFISH
ALEPISAURUS FEROX,440,LONGNOSE LANCETFISH
ARIUS FELIS,441,HARDHEAD CATFISH
BAGRE MARINUS,442,GAFFTOPSAIL CATFISH
OPSANUS PARDUS,443,LEOPARD TOADFISH
PORICHTHYS PLECTRODON,444,ATLANTIC MIDSHIPMAN
ANTENNARIUS OCELLATUS,445,OCELLATED FROGFISH
ANTENNARIUS RADIOSUS,446,SINGLESPOT FROGFISH
ANTENNARIUS STRIATUS,447,STRIATED FROGFISH
HISTRIO HISTRIO,448,SARGASSUMFISH
HALIEUTICHTHYS ACULEATUS,449,PANCAKE BATFISH
OGCOCEPHALUS NASUTUS,450,SHORTNOSE BATFISH
OGCOCEPHALUS PARVUS,451,ROUGHBACK BATFISH
OGCOCEPHALIDAE,452,BATFISH UNCL
MICROGADUS TOMCOD,453,ATLANTIC TOMCOD
UROPHYCIS EARLLII ,454,CAROLINA HAKE
UROPHYCIS FLORIDANA,455,SOUTHERN HAKE
BROTULA BARBATA,456,BEARDED BROTULA
LEPOPHIDIUM JEANNAE,457,MOTTLED CUSK-EEL
OPHIDION GRAYI,458,BLOTCHED CUSK-EEL
OPHIDION HOLBROOKI,459,BANK CUSK-EEL
OPHIDION WELSHI,460,CRESTED CUSK-EEL
OPHIDIIDAE,461,CUSK-EEL UNCL
CARAPUS BERMUDENSIS,462,PEARLFISH
CYPSELURUS CYANOPTERUS,463,MARGINED FLYINGFISH
CYPSELURUS FURCATUS,464,SPOTFIN FLYINGFISH
CYPSELURUS MELANURUS,465,ATLANTIC FLYINGFISH
EULEPTORHAMPHUS VELOX,466,FLYING HALFBEAK
EXOCOETUS OBTUSIROSTRIS,467,OCEANIC TWO-WING FLYINGFISH
HEMIRAMPHUS BRASILIENSIS,468,BALLYHOO
HIRUNDICHTHYS AFFINIS,469,FOURWING FLYINGFISH
PROGNICHTHYS GIBBIFRONS,470,BLUNTNOSE FLYINGFISH
STRONGYLURA MARINA,471,ATLANTIC NEEDLEFISH
CYPRINODON VARIEGATUS,472,SHEEPSHEAD MINNOW
FUNDULUS HETEROCLITUS,473,MUMMICHOG
FUNDULUS MAJALIS,474,STRIPED KILLIFISH
MEMBRAS MARTINICA,475,ROUGH SILVERSIDE
MENIDIA BERYLLINA,476,TIDEWATER SILVERSIDE
CORNIGER SPINOSUS,477,SPINYCHEEK SOLDIERFISH
HOLOCENTRUS ADSCENSIONIS,478,SQUIRRELFISH
SARGOCENTRON BULLISI ,479,DEEPWATER SQUIRRELFISH
HOLOCENTRUS RUFUS,480,LONGSPINE SQUIRRELFISH
SARGOCENTRON VEXILLARIUM ,481,DUSKY SQUIRRELFISH
MYRIPRISTIS JACOBUS,482,BLACKBAR SOLDIERFISH
OSTICHTHYS TRACHYPOMA,483,BIGEYE SOLDIERFISH
PLECTRYPOPS RETROSPINIS,484,CARDINAL SOLDIERFISH
HOLOCENTRIDAE,485,SQUIRRELFISH UNCL
ANTIGONIA COMBATIA,486,SHORTSPINE BOARFISH
EUMECICHTHYS FISKI,487,UNICORNFISH
APELTES QUADRACUS,488,FOURSPINE STICKLEBACK
FISTULARIA PETIMBA,489,RED CORNETFISH
FISTULARIA ,490,CORNETFISH UNCL
COSMOCAMPUS ALBIROSTRIS,491,WHITENOSE PIPEFISH
HIPPOCAMPUS ERECTUS,492,LINED SEAHORSE
HIPPOCAMPUS REIDI,493,LONGSNOUT SEAHORSE
SYNGNATHUS FLORIDAE,494,DUSKY PIPEFISH
SYNGNATHUS LOUISIANAE,495,CHAIN PIPEFISH
SYNGNATHUS SPRINGERI,496,BULL PIPEFISH
CENTROPOMUS UNDECIMALIS,497,COMMON SNOOK
EPINEPHELUS AFER,498,MUTTON HAMLET
ANTHIAS ASPERILINGUIS,499,CRIMSON BASS
ANTHIAS NICHOLSI,500,YELLOWFIN BASS
CEPHALOPODA,501,SQUID CUTTLEFISH AND OCTOPOD UNCL
ILLEX ILLECEBROSUS,502,NORTHERN SHORTFIN SQUID
LOLIGO PEALEII,503,LONGFIN SQUID
LOLLIGUNCULA BREVIS,504,ATLANTIC BRIEF SQUID
LOLIGO PLEI,505,ARROW SQUID
SEPIOLIDAE,506,BOBTAIL UNCL
SEMIROSSIA TENERA,507,LESSER SHINING BOBTAIL
STOLOTEUTHIS LEUCOPTERA,508,SHIELD BOBTAIL
ABRALIA VERANYI,509,RUPPELL'S ABRALIA
OCTOPODA,510,OCTOPUS UNCL
OCTOPUS VULGARIS,511,COMMON OCTOPUS
BATHYPOLYPUS ARCTICUS,512,SPOONARM OCTOPUS
SCAEURGUS UNICIRRHUS,513,UNICORN OCTOPUS
ROSSIA MEGAPTERA,514,VERRILL'S BOBTAIL
ROSSIA PALPEBROSA,515,OWEN'S BOBTAIL
PORTUNUS SPINIMANUS,516,BLOTCHED SWIMMING CRAB
BATHYNECTES LONGISPINA,517,BATHYAL SWIMMING CRAB
ARENAEUS CRIBRARIUS,518,SPECKLED SWIMMING CRAB
ILLEX ILLECEBROSUS EGG MOPS,519,NORTHERN SHORTFIN SQUID EGG MOPS
LOLIGO PEALEII EGG MOPS,520,LONGFIN SQUID EGG MOPS
SCHULTZEA BETA,523,SCHOOL BASS
MYCTEROPERCA INTERSTITIALIS,524,YELLOWMOUTH GROUPER
CENTROPRISTIS OCYURUS,526,BANK SEA BASS
