"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1981-1985 mean",NA,NA,NA,2,NA,8.47314527461878,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.47"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1982-1986 mean",NA,NA,NA,2,NA,9.24148355317752,47,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.24"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1983-1987 mean",NA,NA,NA,2,NA,9.15053914582133,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.15"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1984-1988 mean",NA,NA,NA,2,NA,8.6215336829183,38,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.62"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1985-1989 mean",3194,14,38,2,0.368421052631579,8.62682143643651,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.63"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1986-1990 mean",3117,14,38,2,0.368421052631579,8.73477851558924,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.73"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1987-1991 mean",3125.33333333333,15,38,2,0.394736842105263,8.93406206714477,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.93"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1988-1992 mean",3072.5,15,38,2,0.394736842105263,9.01376235305624,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.01"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1989-1993 mean",3172.6,16,38,2,0.421052631578947,8.74489813513103,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.74"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1990-1994 mean",3022.4,14,38,2,0.368421052631579,8.58561970099048,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.59"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1991-1995 mean",3048.6,17,38,2,0.447368421052632,8.73400327998075,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.73"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1992-1996 mean",3365,19,38,2,0.5,8.82292056524841,42,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.82"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1993-1997 mean",3576.8,20,38,2,0.526315789473684,8.82573910059912,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.83"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1994-1998 mean",3314.8,20,38,2,0.526315789473684,9.23331884214543,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.23"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1995-1999 mean",3373.4,21,38,2,0.552631578947368,9.48044378662636,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.48"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1996-2000 mean",3527,22,38,2,0.578947368421053,9.41689603708202,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.42"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1997-2001 mean",3587.2,22,38,2,0.578947368421053,9.27231710383519,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.27"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1998-2002 mean",3896.2,24,39,2,0.615384615384615,9.21447407708806,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.21"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","1999-2003 mean",4362.6,24,39,2,0.615384615384615,8.91952365010876,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.92"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2000-2004 mean",4519.6,24,39,2,0.615384615384615,8.58369132745115,42,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.58"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2001-2005 mean",4366.4,25,39,2,0.641025641025641,8.25924600491837,35,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.26"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2002-2006 mean",3948,25,39,2,0.641025641025641,8.19497762426481,33,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.19"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2003-2007 mean",3428.4,25,39,2,0.641025641025641,8.21143206387431,33,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.21"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2004-2008 mean",3135.8,24,39,2,0.615384615384615,8.43083192084705,35,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.43"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2005-2009 mean",3199.2,24,39,2,0.615384615384615,9.02333529565672,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.02"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2006-2010 mean",3588.8,25,39,2,0.641025641025641,9.35270311504555,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.35"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2007-2011 mean",3556.4,25,40,2,0.625,9.73864104254142,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.74"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2008-2012 mean",3994,26,40,2,0.65,9.58186808907496,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.58"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2009-2013 mean",4315.4,27,40,2,0.675,9.77393788387,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.77"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2010-2014 mean",4727,26,40,2,0.65,9.50596420918626,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.51"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2011-2015 mean",5096.6,27,40,2,0.675,9.62703516721374,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.63"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2012-2016 mean",6424.8,28,40,2,0.7,9.54776681651682,44,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.55"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2013-2017 mean",7435.6,29,40,2,0.725,9.36807745825603,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.37"
"Black sea bass","Mid-Atlantic","asmt_catch","Socioeconomic","2014-2018 mean",7943.2,31,40,2,0.775,9.43916879801774,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.44"
"Black sea bass","Mid-Atlantic","recruitment","Population","1964-1968 mean",NA,NA,NA,2,NA,5.78605935127674,44,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.79"
"Black sea bass","Mid-Atlantic","recruitment","Population","1965-1969 mean",NA,NA,NA,2,NA,5.56727742541696,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.57"
"Black sea bass","Mid-Atlantic","recruitment","Population","1966-1970 mean",NA,NA,NA,2,NA,5.41969696969697,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.42"
"Black sea bass","Mid-Atlantic","recruitment","Population","1967-1971 mean",NA,NA,NA,2,NA,5.35375494071146,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.35"
"Black sea bass","Mid-Atlantic","recruitment","Population","1968-1972 mean",NA,NA,NA,2,NA,5.38398402839397,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 5.38"
"Black sea bass","Mid-Atlantic","recruitment","Population","1969-1973 mean",NA,NA,NA,2,NA,7.73912738560238,42,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.74"
"Black sea bass","Mid-Atlantic","recruitment","Population","1970-1974 mean",NA,NA,NA,2,NA,8.15013105149553,44,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.15"
"Black sea bass","Mid-Atlantic","recruitment","Population","1971-1975 mean",NA,NA,NA,2,NA,7.94604941884247,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.95"
"Black sea bass","Mid-Atlantic","recruitment","Population","1972-1976 mean",NA,NA,NA,2,NA,7.83180272108843,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.83"
"Black sea bass","Mid-Atlantic","recruitment","Population","1973-1977 mean",NA,NA,NA,2,NA,7.96606369820656,37,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.97"
"Black sea bass","Mid-Atlantic","recruitment","Population","1974-1978 mean",NA,NA,NA,2,NA,7.67051495016611,33,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.67"
"Black sea bass","Mid-Atlantic","recruitment","Population","1975-1979 mean",NA,NA,NA,2,NA,7.27366478506296,30,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.27"
"Black sea bass","Mid-Atlantic","recruitment","Population","1976-1980 mean",NA,NA,NA,2,NA,7.16994138080764,28,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.17"
"Black sea bass","Mid-Atlantic","recruitment","Population","1977-1981 mean",NA,NA,NA,2,NA,7.21014395938408,30,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.21"
"Black sea bass","Mid-Atlantic","recruitment","Population","1978-1982 mean",NA,NA,NA,2,NA,7.45652827415745,32,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.46"
"Black sea bass","Mid-Atlantic","recruitment","Population","1979-1983 mean",NA,NA,NA,2,NA,7.74484785730986,34,53,"Black sea bass - Mid-Atlantic","Black sea bass, 7.74"
"Black sea bass","Mid-Atlantic","recruitment","Population","1980-1984 mean",NA,NA,NA,2,NA,8.32779256831887,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.33"
"Black sea bass","Mid-Atlantic","recruitment","Population","1981-1985 mean",NA,NA,NA,2,NA,8.47314527461878,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.47"
"Black sea bass","Mid-Atlantic","recruitment","Population","1982-1986 mean",NA,NA,NA,2,NA,9.24148355317752,47,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.24"
"Black sea bass","Mid-Atlantic","recruitment","Population","1983-1987 mean",NA,NA,NA,2,NA,9.15053914582133,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.15"
"Black sea bass","Mid-Atlantic","recruitment","Population","1984-1988 mean",NA,NA,NA,2,NA,8.6215336829183,38,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.62"
"Black sea bass","Mid-Atlantic","recruitment","Population","1985-1989 mean",24387000,9,22,2,0.409090909090909,8.62682143643651,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.63"
"Black sea bass","Mid-Atlantic","recruitment","Population","1986-1990 mean",27084000,9,22,2,0.409090909090909,8.73477851558924,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.73"
"Black sea bass","Mid-Atlantic","recruitment","Population","1987-1991 mean",29412666.6666667,9,22,2,0.409090909090909,8.93406206714477,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.93"
"Black sea bass","Mid-Atlantic","recruitment","Population","1988-1992 mean",29320000,9,22,2,0.409090909090909,9.01376235305624,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.01"
"Black sea bass","Mid-Atlantic","recruitment","Population","1989-1993 mean",27449000,8,22,2,0.363636363636364,8.74489813513103,41,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.74"
"Black sea bass","Mid-Atlantic","recruitment","Population","1990-1994 mean",28303600,9,22,2,0.409090909090909,8.58561970099048,40,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.59"
"Black sea bass","Mid-Atlantic","recruitment","Population","1991-1995 mean",29725800,9,22,2,0.409090909090909,8.73400327998075,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.73"
"Black sea bass","Mid-Atlantic","recruitment","Population","1992-1996 mean",28234400,10,22,2,0.454545454545455,8.82292056524841,42,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.82"
"Black sea bass","Mid-Atlantic","recruitment","Population","1993-1997 mean",27789200,10,22,2,0.454545454545455,8.82573910059912,43,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.83"
"Black sea bass","Mid-Atlantic","recruitment","Population","1994-1998 mean",28372200,9,22,2,0.409090909090909,9.23331884214543,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.23"
"Black sea bass","Mid-Atlantic","recruitment","Population","1995-1999 mean",30087600,9,22,2,0.409090909090909,9.48044378662636,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.48"
"Black sea bass","Mid-Atlantic","recruitment","Population","1996-2000 mean",32062200,9,22,2,0.409090909090909,9.41689603708202,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.42"
"Black sea bass","Mid-Atlantic","recruitment","Population","1997-2001 mean",32247200,10,22,2,0.454545454545455,9.27231710383519,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.27"
"Black sea bass","Mid-Atlantic","recruitment","Population","1998-2002 mean",33203400,9,22,2,0.409090909090909,9.21447407708806,46,53,"Black sea bass - Mid-Atlantic","Black sea bass, 9.21"
"Black sea bass","Mid-Atlantic","recruitment","Population","1999-2003 mean",32566800,9,22,2,0.409090909090909,8.91952365010876,45,53,"Black sea bass - Mid-Atlantic","Black sea bass, 8.92"
